Algoma,-3.0,-2.9,1.5,0.4,-0.1,-0.9
Brock,0.1,0.0,-0.8,0.7,0.7,0.1
Carleton,0.2,-0.6,-0.3,0.4,0.4,0.0
Guelph,0.9,0.5,0.8,1.6,1.9,1.1
Lakehead,-0.3,0.6,0.3,-1.5,-1.3,-0.4
Laurentian,-0.4,-0.5,1.1,-0.8,-0.2,-0.2
McMaster,0.6,0.7,-1.1,0.8,1.0,0.4
Nipissing,-1.0,1.4,1.2,0.8,0.5,0.6
OCADU,0.4,-0.8,2.4,-1.4,-0.7,0.0
Ottawa,0.0,0.3,0.1,-0.8,-1.1,-0.3
UOIT,-1.0,-0.8,-1.5,-0.8,-1.6,-1.1
Queen's,1.2,1.6,0.5,1.3,1.4,1.2
Ryerson,0.2,-0.8,-0.4,-0.7,-0.5,-0.4
Toronto,0.9,0.3,-0.5,-1.0,-0.8,-0.2
Trent,-0.5,-0.8,0.0,1.2,1.1,0.2
Waterloo,0.9,0.6,-0.9,-0.1,0.1,0.1
Western,1.0,1.0,0.0,1.1,0.8,0.8
Laurier,0.2,0.3,-1.2,0.8,0.5,0.1
Windsor,-0.1,0.0,-0.9,-1.1,-1.0,-0.6
York,0.0,-0.1,-0.1,-0.8,-1.3,-0.5
