Algoma,-1.1,-0.6,,-2.0,-1.2
Brock,-0.9,-0.5,-0.5,-0.6,-0.6
Carleton,0.4,-0.3,-0.3,0.2,0.0
Guelph,0.6,0.1,-0.2,0.6,0.3
Lakehead,-0.9,-0.5,-0.5,-0.9,-0.7
Laurentian,-0.9,-0.5,-0.5,-1.0,-0.7
McMaster,1.1,0.7,0.6,0.7,0.8
Nipissing,-1.1,-0.6,,-1.5,-1.0
OCADU,-1.1,-0.5,,-1.6,-1.1
Ottawa,0.5,0.6,0.6,0.7,0.6
UOIT,-0.7,-0.5,-0.5,0.4,-0.3
Queen's,1.3,0.1,-0.1,0.9,0.5
Ryerson,-0.6,-0.4,-0.5,-0.7,-0.5
Toronto,2.0,3.0,3.0,1.6,2.8
Trent,-0.7,-0.5,-0.5,0.7,-0.3
Waterloo,1.7,0.2,0.0,1.0,0.7
Western,1.0,0.4,0.2,0.7,0.6
Laurier,-0.8,-0.5,-0.5,0.0,-0.5
Windsor,0.0,-0.4,-0.5,-0.1,-0.2
York,0.0,-0.2,-0.3,0.9,0.1
